facility_id,company,location,product,process,capacity_kt,year_built,stranding_year,stranded_value_usd,scenario,budget_scenario
Unknown,Korea Alcohol Industrial,Ulsan,Ethanol,Utility,70,1974,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Korea Alcohol Industrial,Ulsan,Ethyl Acetate,Utility,123,1989,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,ISU Chemical,Ulsan,Alkylbenzene,Utility,180,1973,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Aekyung Chemical,Ulsan,PA,Utility,210,1972,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,OCI,Pohang,PA,Utility,60,1983,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Aekyung Chemical,Ulsan,MA,Utility,8,1988,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Yongsan Chemical,Ulsan,MA,Utility,38,1976,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Korea PTG,Ulsan,MA,Utility,30,1992,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,OCI,Gunsan,TDI,Utility,50,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,BASF Korea,Yeosu,TDI,Utility,160,1988,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha Solutions,Yeosu,TDI,Utility,150,1981,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Downing Chemical,Yeosu,MDI,Utility,30,2018,2030,9000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Kumho Mitsui Chemical,Yeosu,MDI,Utility,610,1992,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,BASF Korea,Yeosu,MDI,Utility,250,1992,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Daesan,Phenol,Utility,360,2013,2030,78000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Kumho P&B Chemical,Yeosu,Phenol,Utility,680,1980,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,Phenol,Utility,350,2005,2030,29166666.666666664,shaheen_ncc_h2_15c,1.5C
