scenario,year,region,bau_emissions_tco2,emissions_tco2,abatement_tco2,abatement_mt,capex_usd,total_cost_usd,annual_capex_usd,annual_opex_usd,annual_new_energy_usd,annual_fuel_savings_usd,elec_demand_mwh,h2_demand_t
shaheen_ncc_h2_20c,2037,Daesan,19800108.505871844,13850191.030673072,3803313.2401436195,3.8033132401436194,1067124099.9999998,289438370.64179033,42684963.99999999,36697816.74999999,1493617293.7806997,1283561703.8889096,17944209.503584385,382374.99999999994
shaheen_ncc_h2_20c,2037,Yeosu,25771247.357066404,19149368.893458296,3026386.340425414,3.026386340425414,917974505.0,239282144.46531928,36718980.199999996,31345677.65,1230502583.299129,1059285096.6838099,23411296.08323702,310730.0
shaheen_ncc_h2_20c,2037,Ulsan,22130929.276215024,18799950.867729466,311117.3794171282,0.31111737941712825,836886049.9999999,-8836060.846451242,33962305.99999999,25106581.499999996,368786946.4963326,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2037,Other,432184.00829651015,339840.262350179,-18902.723889317494,-0.018902723889317494,121039799.99999999,9825416.403760582,4841591.999999999,3631193.9999999995,43576243.51979603,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2038,Daesan,19800108.505871844,13349547.585523069,4021987.4849262103,4.0219874849262105,1047530399.9999998,240368296.27572387,41901216.0,36014412.0,1446014372.1646333,1283561703.8889096,17944209.503584385,382374.99999999994
shaheen_ncc_h2_20c,2038,Yeosu,25771247.357066404,18496193.73273599,3207272.281577119,3.207272281577119,901200720.0,198836794.83407667,36048028.8,30764781.6,1191309081.1178865,1059285096.6838099,23411296.08323702,310730.0
shaheen_ncc_h2_20c,2038,Ulsan,22130929.276215024,18145039.685383648,569351.9011649734,0.5693519011649734,822903199.9999999,-21053710.84232966,33395263.999999996,24687095.999999996,357555824.0004541,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2038,Other,432184.00829651015,297436.2224594367,8888.432251826987,0.008888432251826988,119011199.99999999,8356333.460330486,4760447.999999999,3570335.9999999995,42249162.57636593,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2039,Daesan,19800108.505871844,12848904.140373062,4240661.729708801,4.240661729708801,1027936699.9999998,192649932.67326105,41117467.99999999,35331007.25,1399763161.3121705,1283561703.8889096,17944209.503584385,382374.99999999994
shaheen_ncc_h2_20c,2039,Yeosu,25771247.357066404,17843018.572013676,3388158.2227288256,3.388158222728826,884426935.0,159505415.59562618,35377077.4,30183885.549999997,1153229549.329436,1059285096.6838099,23411296.08323702,310730.0
shaheen_ncc_h2_20c,2039,Ulsan,22130929.276215024,17490128.503037833,827586.4229128188,0.8275864229128188,808920349.9999999,-32929325.650369227,32828221.999999996,24267610.5,346666736.6924146,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2039,Other,432184.00829651015,255032.1825686943,36679.58839297148,0.036679588392971474,116982599.99999999,6927665.745202817,4679303.999999999,3509477.9999999995,40962496.86123826,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2040,Daesan,19800108.505871844,12346466.2742727,4460119.753146526,4.460119753146526,1008342999.9999998,146239804.44864938,40333720.0,34647602.49999999,1354820185.837559,1283561703.8889096,17944209.503584385,382374.99999999994
shaheen_ncc_h2_20c,2040,Yeosu,25771247.357066404,17187502.28168304,3569692.500587168,3.569692500587168,867653150.0,121252204.39930274,34706126.0,29602989.5,1116228185.5831127,1059285096.6838099,23411296.08323702,310730.0
shaheen_ncc_h2_20c,2040,Ulsan,22130929.276215024,15392756.7613341,2545190.714383057,2.545190714383057,961572499.9999998,1356501.643276658,38926579.99999999,30513524.999999993,762507574.2252802,830591177.5820035,23894817.12987501,144899.99999999997
shaheen_ncc_h2_20c,2040,Other,432184.00829651015,212476.15687189193,64570.35441275804,0.06457035441275803,114953999.99999999,5538182.443718697,4598159.999999999,3448619.9999999995,39715015.55975415,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2041,Daesan,19800108.505871844,12097041.76217288,4569064.986210255,4.569064986210255,988749299.9999998,101095871.74813448,39549972.0,33964197.74999999,1311143405.887044,1283561703.8889096,17944209.503584385,382374.99999999994
shaheen_ncc_h2_20c,2041,Yeosu,25771247.357066404,16862085.266126044,3659811.302809703,3.659811302809703,850879365.0,84042539.85425027,34035174.6,29022093.449999996,1080270368.4880602,1059285096.6838099,23411296.08323702,310730.0
shaheen_ncc_h2_20c,2041,Ulsan,22130929.276215024,12168680.30255634,5610882.410457822,5.610882410457822,1269992149.9999998,39219884.69510342,51255637.99999999,42990139.49999999,1563363850.255546,1618389743.0604424,24737413.228634566,434699.9999999999
shaheen_ncc_h2_20c,2041,Other,432184.00829651015,191350.12982955074,78416.12754400923,0.07841612754400923,112925399.99999999,4186690.2247319077,4517015.999999999,3387761.9999999995,38505525.34076736,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2042,Daesan,19800108.505871844,10071318.200977895,6477813.523765851,6.4778135237658505,1163965600.0,78970950.09432842,46558623.99999999,41073192.99999999,1756333293.6645064,1764994160.570178,18459129.341715224,559475.0
shaheen_ncc_h2_20c,2042,Yeosu,25771247.357066404,14550108.30948972,5762209.366083585,5.762209366083585,1051938580.0,72212001.59549938,42077543.199999996,37154517.4,1590594057.4229095,1597614116.4274101,23987070.084056046,508760.0
shaheen_ncc_h2_20c,2042,Ulsan,22130929.276215024,11822356.517355457,5760756.237952119,5.760756237952119,1245141799.9999998,-13113489.136399359,50253895.99999999,42135954.0,1512886403.9240434,1618389743.0604424,24737413.228634566,434699.9999999999
shaheen_ncc_h2_20c,2042,Other,432184.00829651015,170072.11698114953,92361.51055390252,0.09236151055390253,110896799.99999999,2872032.0990774943,4435871.999999999,3326903.9999999995,37332869.21511294,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2043,Daesan,19800108.505871844,9812890.39019388,6595810.372082128,6.595810372082128,1139944399.9999998,19816696.221219353,45597776.0,40212688.25,1699000392.5413973,1764994160.570178,18459129.341715224,559475.0
shaheen_ncc_h2_20c,2043,Yeosu,25771247.357066404,10513184.454737775,9616450.1979008,9.6164501979008,1425690420.0,29785008.44339135,57027616.8,52194646.349999994,2518243374.0087094,2597680628.7153177,25056699.020536926,876645.0
shaheen_ncc_h2_20c,2043,Ulsan,22130929.276215024,11476032.732154572,5910630.065446419,5.910630065446418,1220291449.9999998,-64030784.7626397,49252153.99999999,41281768.5,1463825035.797803,1618389743.0604424,24737413.228634566,434699.9999999999
shaheen_ncc_h2_20c,2043,Other,432184.00829651015,148794.10413274833,106306.89356379582,0.10630689356379582,108868199.99999999,1593086.3128046407,4354727.999999999,3266045.9999999995,36195925.428840086,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2044,Daesan,19800108.505871844,7442188.347691997,8858550.736651778,8.858550736651779,1335688199.9999998,-50291266.0975502,53427528.0,48142783.499999985,2182098213.595945,2333959791.1934953,19067670.96859712,768775.0
shaheen_ncc_h2_20c,2044,Yeosu,25771247.357066404,10164896.338352311,9732799.785473641,9.732799785473642,1394768760.0,-55563478.16265899,55790750.4,51047835.3,2435278564.8526587,2597680628.7153177,25056699.020536926,876645.0
shaheen_ncc_h2_20c,2044,Ulsan,22130929.276215024,9762883.333048075,7449113.140558779,7.449113140558779,1337781199.9999998,-121699996.86566931,53944015.99999999,46121186.99999999,1765139205.4907987,1986904405.3564682,25131560.959276535,570261.9999999999
shaheen_ncc_h2_20c,2044,Other,432184.00829651015,127668.07709040718,120152.666695047,0.120152666695047,106839599.99999999,348765.27411538316,4273583.999999999,3205187.9999999995,35093606.39015083,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2045,Daesan,19800108.505871844,6039799.759375113,10204618.36101396,10.20461836101396,1422447075.0,-138998697.73297435,56897883.0,51713481.75,2391063250.7302346,2638673313.213209,19381595.758401677,881958.0
shaheen_ncc_h2_20c,2045,Yeosu,25771247.357066404,8003534.160426012,11792680.530963853,11.792680530963853,1548840125.0,-161424859.42318958,61953605.0,57300745.25,2802895954.1546454,3083575163.827835,25557281.793468516,1057126.0
shaheen_ncc_h2_20c,2045,Ulsan,22130929.276215024,8819901.398137566,8239593.983737539,8.239593983737539,1369940949.9999998,-189268226.8616442,55222677.999999985,47547405.499999985,1853507843.3009627,2145546153.6626067,25294998.332062405,629188.0
shaheen_ncc_h2_20c,2045,Other,432184.00829651015,106390.06424200597,134098.0497049403,0.1340980497049403,104810999.99999999,-861985.4870174769,4192439.9999999995,3144329.9999999995,34024857.62901797,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2046,Daesan,19800108.505871844,4968094.284818442,11172493.996002102,11.172493996002101,1478913799.9999998,-214939652.15823972,59156552.0,54072493.99999999,2523804289.1352167,2851972987.293456,19621660.710109897,970508.0
shaheen_ncc_h2_20c,2046,Yeosu,25771247.357066404,6234182.688188587,13390232.968256056,13.390232968256056,1669576440.0,-246831739.42257252,66783057.599999994,62220253.199999996,3083923175.1649704,3459758225.3875427,25980669.071935736,1213296.0
shaheen_ncc_h2_20c,2046,Ulsan,22130929.276215024,6617660.184938529,10322152.872243192,10.322152872243192,1544698399.9999998,-238587087.1776612,62205248.0,54677531.99999999,2282604624.8156967,2638074491.9933577,25849330.129643198,833658.0
shaheen_ncc_h2_20c,2046,Other,432184.00829651015,85112.05139360478,148043.4327148336,0.14804343271483358,102782399.99999999,-2040188.327548387,4111295.9999999995,3083471.9999999995,32988656.78848706,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2047,Daesan,19800108.505871844,2479496.624798018,13618174.730816003,13.618174730816003,1682433900.0,-305516236.2208662,67297356.0,62313641.25,3004389401.51636,3439516634.9872265,20282930.531633444,1214423.0
shaheen_ncc_h2_20c,2047,Yeosu,25771247.357066404,4933749.481669565,14503090.231553989,14.503090231553989,1730859480.0,-354941323.29316086,69234379.19999999,64761630.15,3219411967.445178,3708349300.088339,26260453.861108404,1316497.0
shaheen_ncc_h2_20c,2047,Ulsan,22130929.276215024,6255769.563123525,10492791.843883283,10.492791843883284,1509874099.9999998,-317454097.23355895,60804547.99999999,53424388.5,2206391458.259799,2638074491.9933577,25849330.129643198,833658.0
shaheen_ncc_h2_20c,2047,Other,432184.00829651015,63834.03854520359,161988.81572472685,0.16198881572472684,100753799.99999999,-3186834.469337919,4030151.9999999995,3022613.9999999995,31984012.64669753,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2048,Daesan,19800108.505871844,1197685.1105204662,14811145.592383651,14.811145592383651,1746045000.0,-420594924.89906603,69841800.0,64958428.5,3147837442.2691927,3703232595.6682587,20579738.108290873,1323903.0
